epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89673,0,40.0226,0,0,0,0,0,0,33.0202,0,0,0,0
2,3.52002,0,44.3909,0,0,0,0,0,0,33.5296,0,1.089e-05,1.089e-05,1.089e-05
3,5.30889,0,43.9509,0,0,0,0,0,0,33.6635,0,2.13401e-05,2.13401e-05,2.13401e-05
4,6.85183,0,35.3431,0,0,0,0,0,0,33.8683,0,3.13502e-05,3.13502e-05,3.13502e-05
5,8.46027,0,33.1518,0,0,0,0,0,0,33.4074,0,4.09204e-05,4.09204e-05,4.09204e-05
6,10.2207,0,31.899,0,0,0,0,0,0,33.6941,0,5.00506e-05,5.00506e-05,5.00506e-05
7,11.6931,0,29.7423,0,0,0,0,0,0,35.154,0,5.87408e-05,5.87408e-05,5.87408e-05
8,13.2112,0,26.0349,0,0,0,0,0,0,36.6782,0,6.69911e-05,6.69911e-05,6.69911e-05
9,14.8256,0,24.3657,0,0,0,0,0,0,36.6782,0,7.48014e-05,7.48014e-05,7.48014e-05
10,16.53,0,24.2998,0,0,0,0,0,0,38.6358,0,8.21718e-05,8.21718e-05,8.21718e-05
11,18.0308,0,22.4648,0,0,0,0,0,0,38.6358,0,8.91022e-05,8.91022e-05,8.91022e-05
12,19.7466,0,22.2753,0,0,0,0,0,0,42.003,0,9.55927e-05,9.55927e-05,9.55927e-05
13,21.4817,0,20.8015,0,0,0,0,0,0,42.003,0,0.000101643,0.000101643,0.000101643
14,23.2467,0,23.3475,0,0,0,0,0,0,45.441,0,0.000107254,0.000107254,0.000107254
15,25.2466,0,19.2421,0,0,0,0,0,0,45.441,0,0.000112424,0.000112424,0.000112424
16,27.101,0,19.0616,0,0,0,0,0,0,40.947,0,0.000117155,0.000117155,0.000117155
17,28.8331,0,18.2546,0,0,0,0,0,0,40.947,0,0.000121446,0.000121446,0.000121446
18,30.5722,0,18.3006,0,0,0,0,0,0,33.0897,0,0.000125296,0.000125296,0.000125296
19,32.6212,0,16.8896,0,0,0,0,0,0,33.0897,0,0.000128707,0.000128707,0.000128707
20,34.4279,0,17.1693,0,0,0,0,0,0,33.3079,0,0.000131678,0.000131678,0.000131678
21,36.244,0,15.9609,0,0,0,0,0,0,33.3079,0,0.000134209,0.000134209,0.000134209
22,37.8031,0,15.9735,0,0,0,0,0,0,27.5552,0,0.0001363,0.0001363,0.0001363
23,39.4941,0,14.986,0,0,0,0,0,0,27.5552,0,0.000137951,0.000137951,0.000137951
24,41.1029,0,15.0016,0,0,0,0,0,0,27.5552,0,0.000139162,0.000139162,0.000139162
25,42.9683,0,14.8074,0,0,0,0,0,0,22.5976,0,0.000139933,0.000139933,0.000139933
26,44.7015,0,13.9696,0,0,0,0,0,0,22.5976,0,0.000140264,0.000140264,0.000140264
27,46.3392,0,14.2567,0,0,0,0,0,0,22.5976,0,0.000140155,0.000140155,0.000140155
28,47.8949,0,14.2785,0,0,0,0,0,0,19.9554,0,0.000139606,0.000139606,0.000139606
29,49.5222,0,13.234,0,0,0,0,0,0,19.9554,0,0.000138617,0.000138617,0.000138617
30,51.3471,0,13.1619,0,0,0,0,0,0,19.9554,0,0.000137189,0.000137189,0.000137189
31,52.7585,0,13.228,0,0,0,0,0,0,19.6985,0,0.00013532,0.00013532,0.00013532
32,54.381,0,13.2077,0,0,0,0,0,0,19.6985,0,0.000133011,0.000133011,0.000133011
33,56.22,0,12.4892,0,0,0,0,0,0,19.6985,0,0.000130263,0.000130263,0.000130263
34,58.2758,0,12.4895,0,0,0,0,0,0,19.7438,0,0.000127074,0.000127074,0.000127074
35,60.2166,0,11.8285,0,0,0,0,0,0,19.7438,0,0.000123445,0.000123445,0.000123445
36,61.9138,0,11.8811,0,0,0,0,0,0,19.7438,0,0.000119377,0.000119377,0.000119377
37,63.6206,0,11.9662,0,0,0,0,0,0,19.7438,0,0.000114869,0.000114869,0.000114869
38,65.3091,0,11.8536,0,0,0,0,0,0,15.5059,0,0.00010992,0.00010992,0.00010992
39,66.801,0,11.4322,0,0,0,0,0,0,15.5059,0,0.000104532,0.000104532,0.000104532
40,68.6346,0,11.3904,0,0,0,0,0,0,15.5059,0,9.87035e-05,9.87035e-05,9.87035e-05
41,70.5455,0,11.5882,0,0,0,0,0,0,15.5059,0,9.24352e-05,9.24352e-05,9.24352e-05
42,72.6815,0,11.533,0,0,0,0,0,0,12.6655,0,8.5727e-05,8.5727e-05,8.5727e-05
43,74.8178,0,11.0605,0,0,0,0,0,0,12.6655,0,7.85788e-05,7.85788e-05,7.85788e-05
44,76.7116,0,11.0402,0,0,0,0,0,0,12.6655,0,7.09907e-05,7.09907e-05,7.09907e-05
45,78.7557,0,11.0668,0,0,0,0,0,0,12.6655,0,6.29626e-05,6.29626e-05,6.29626e-05
46,80.7666,0,11.1352,0,0,0,0,0,0,11.2969,0,5.44945e-05,5.44945e-05,5.44945e-05
47,82.7881,0,10.6764,0,0,0,0,0,0,11.2969,0,4.55866e-05,4.55866e-05,4.55866e-05
48,84.6744,0,10.6549,0,0,0,0,0,0,11.2969,0,3.62386e-05,3.62386e-05,3.62386e-05
49,86.8561,0,10.8137,0,0,0,0,0,0,11.2969,0,2.64507e-05,2.64507e-05,2.64507e-05
50,89.5878,0,10.7781,0,0,0,0,0,0,10.4524,0,1.62228e-05,1.62228e-05,1.62228e-05
