epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.042,1.57076,4.10939,1.67324,0.2245,0.45387,0.27847,0.16282,1.45899,5.80692,1.657,0.000405702,0.000405702,0.000405702
2,862.964,1.49657,3.28881,1.67449,0.09221,0.20844,0.08914,0.04943,1.76714,4.23443,2.02699,0.000810738,0.000810738,0.000810738
3,1352.42,1.61566,3.22066,1.79901,0.04769,0.15554,0.02156,0.01011,2.55846,26.2913,3.53137,0.00120399,0.00120399,0.00120399
4,1834.43,1.79749,3.29616,2.00316,0.00378,0.24487,0.00277,0.00106,2.61634,183.098,3.98236,0.00119696,0.00119696,0.00119696
5,2315.37,1.77094,3.11671,1.9347,0.03648,0.31133,0.0672,0.03553,2.11757,10.0295,2.65959,0.00117929,0.00117929,0.00117929
6,2781.29,1.75956,2.88145,1.8686,0.52005,0.03263,0.02665,0.01498,2.49839,6.18679,2.80301,0.00116161,0.00116161,0.00116161
7,3182.4,1.77762,2.79673,1.87739,0.00223,0.11698,0.00129,0.00047,2.84483,104.93,3.84617,0.00114393,0.00114393,0.00114393
8,3587.71,1.72156,2.70892,1.91617,0.00156,0.35642,0.00137,0.00056,2.14169,415.081,3.39196,0.00112625,0.00112625,0.00112625
9,4010.49,1.66266,2.57897,1.86639,0.17889,0.30232,0.21953,0.12568,1.76928,4.54172,2.00542,0.00110857,0.00110857,0.00110857
10,4414.98,1.62079,2.54735,1.74124,0.18959,0.31976,0.21348,0.12834,1.69043,2.93665,1.89396,0.00109089,0.00109089,0.00109089
11,4791.52,1.52262,2.35456,1.69935,0.67342,0.11594,0.20745,0.13522,1.90106,3.07345,2.01533,0.00107321,0.00107321,0.00107321
12,5544.49,1.57005,2.4113,1.7591,0.32766,0.38972,0.30462,0.17202,1.59053,3.04822,1.75865,0.00105554,0.00105554,0.00105554
13,6329.67,1.54117,2.31867,1.72416,0.42283,0.43696,0.35689,0.2034,1.70136,2.70394,1.93799,0.00103786,0.00103786,0.00103786
14,6898.13,1.49274,2.25759,1.6568,0.45191,0.41586,0.41645,0.22682,1.66336,2.54271,1.95854,0.00102018,0.00102018,0.00102018
15,7731.59,1.49505,2.09225,1.67113,0.36924,0.30659,0.30671,0.20429,1.62784,3.13966,1.82581,0.0010025,0.0010025,0.0010025
16,8518.77,1.48814,2.20518,1.67898,0.445,0.37907,0.35412,0.21777,1.69134,2.40853,1.90873,0.000984821,0.000984821,0.000984821
17,9266.14,1.36798,1.97781,1.60216,0.4199,0.42847,0.38756,0.24987,1.51662,2.19524,1.75055,0.000967143,0.000967143,0.000967143
18,10045.3,1.44661,1.9673,1.63284,0.34083,0.44109,0.27295,0.15503,1.55381,4.15917,1.7718,0.000949464,0.000949464,0.000949464
19,10821,1.41534,1.95126,1.63748,0.36407,0.53147,0.4464,0.27071,1.44688,2.08997,1.66904,0.000931786,0.000931786,0.000931786
20,11601.1,1.3806,1.86664,1.58035,0.44486,0.38211,0.42239,0.26456,1.45826,2.06222,1.72192,0.000914107,0.000914107,0.000914107
